Wallet,Unique_Count,Tie_Count,Total_Count,Unique_Percentage,Tie_Percentage,Total_Percentage
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 5) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (2 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (2 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 5) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3 AND 4),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1) OR (2 AND 3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (2 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (1 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (1 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 5) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (1 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (1 AND 5) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (1 AND 5) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (1 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 5) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 5) OR (3 AND 5) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 5) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (2 AND 3 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (3 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (1 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (1 AND 3 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (1 AND 4 AND 5) OR (2 AND 3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 4 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (1 AND 3 AND 5) OR (2 AND 3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 5) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
(1 AND 2) OR (3 AND 4 AND 5),0,1,1,0.00%,3.57%,0.06%
